date,ndvi_sg,T2M,PPT,RAD,RH
2005-02-03,0.110155048075556,15.69,0.68,19.95,57.96
2005-02-08,0.115600094382251,21.26,1.11,19.14,61.04
2005-02-13,0.120674576313982,21.62,0,20.96,53.12
2005-02-18,0.12537849387075,21.28,0,21.34,53.7
2005-02-23,0.129711847052555,20.71,1.8599999999999999,21.82,39.85
2005-02-28,0.134540767472923,26.17,2.1399999999999997,20.33,47.74
2005-03-05,0.138607891586642,22.86,13.21,19.22,61.92
2005-03-10,0.140906445785028,23.05,2.44,23.05,47.83
2005-03-15,0.139858227077134,28,0,24.8,30.42
2005-03-20,0.13632499696494,27.05,0.26,24.68,22.43
2005-03-25,0.132495665299984,28.76,0,25.88,19.26
2005-03-30,0.126840178837159,27.33,0,25.43,20.86
2005-04-04,0.119892032533894,30.66,2.5599999999999996,26.29,19.98
2005-04-09,0.114179178885063,28.24,0,26.06,10.38
2005-04-14,0.111644369779618,31.44,8.35,24.11,15.69
2005-04-19,0.112202777239023,30.74,0.9400000000000001,19.49,31.5
2005-04-24,0.113244875133074,30.61,5.2,24.95,24.19
2005-04-29,0.114988826256452,29.32,14.69,23.51,45.95
2005-05-04,0.117156921728641,32.18,0.78,24.63,27.51
2005-05-09,0.116229005857353,32.64,0,29.53,13.23
2005-05-14,0.112880491407378,35.11,0,27.96,14.16
2005-05-19,0.110789903340624,35.85,0.02,27.71,15.7
2005-05-24,0.108247806336499,35.55,5.75,22.59,20.69
2005-05-29,0.103774287590781,33.87,0.05,20.85,35.16
2005-06-03,0.100080391433633,35.81,0.73,25.48,18.61
2005-06-08,0.0995242760579212,35.79,0.06,25,20.57
2005-06-13,0.103519724761586,36.3,0.23,21.29,17.55
2005-06-18,0.112798510423172,34.66,6.49,21.26,39.19
2005-06-23,0.12785817731248,29.22,76.25999999999999,20.38,70.51
2005-06-28,0.148142692746028,25.42,90.05,7.75,86.24
2005-07-03,0.16795198545481901,24.47,223.06,5.53,86.29
2005-07-08,0.185546386202217,26.55,45.410000000000004,14.7,83.94
2005-07-13,0.20339208289429,24.94,95.2,9.63,90.81
2005-07-18,0.221234370969555,25.61,43.300000000000004,16.16,89.28
2005-07-23,0.23901441883411,25.76,82.33,14.08,90.27
2005-07-28,0.256704720980283,24.83,89.62,12.55,92.01
2005-08-02,0.274277771900399,25.08,113.72,10.32,91.94
2005-08-07,0.291706066086785,25.04,20.349999999999998,15.53,89.17
2005-08-12,0.308882132704917,25.44,16.82,18.87,85.79
2005-08-17,0.325996564843897,24.39,144.14000000000001,5.4,92.78
2005-08-22,0.344519320966512,23.69,36.73,15.35,92.44
2005-08-27,0.362513919422107,26.36,0.05,21.97,80.33
2005-09-01,0.377336449288855,25.92,14.11,19.25,86.32
2005-09-06,0.38645522722815,25.69,55.28,18.19,86.12
2005-09-11,0.388036624383739,24.44,199.42,10.51,90.44
2005-09-16,0.381423673393376,24.83,25.970000000000002,15.1,90.07
2005-09-21,0.367525468241098,24.26,15.32,10.52,90.55
2005-09-26,0.349596821008278,23.65,0.56,21.42,82.08
2005-10-01,0.33247091029265,23.38,0.25,21.28,81.42
2005-10-06,0.317528226850117,22.89,0.03,21.17,77.39
2005-10-11,0.305498122409238,22.46,37.76,20.19,82.85
2005-10-16,0.295504144838253,22.66,26.41,14.93,87.29
2005-10-21,0.28652897742129,21.76,0.31,17.19,85.24
2005-10-26,0.277851587747327,18.75,0,19.07,78.23
2005-10-31,0.268153511002916,17.72,0.02,19.4,66.93
2005-11-05,0.257169451088791,16.37,0,19.06,63.61
2005-11-10,0.245451845643757,18.5,0,18.87,56.8
2005-11-15,0.23365108341688,18.44,0,18.97,49.76
