date,ndvi_sg,T2M,PPT,RAD,RH
2005-02-03,0.237210901167926,15.69,0.68,19.95,57.96
2005-02-08,0.226069018516654,21.26,1.11,19.14,61.04
2005-02-13,0.217557594332734,21.62,0,20.96,53.12
2005-02-18,0.211676628616164,21.28,0,21.34,53.7
2005-02-23,0.208426121366946,20.71,1.8599999999999999,21.82,39.85
2005-02-28,0.211257740811746,26.17,2.1399999999999997,20.33,47.74
2005-03-05,0.214640024710893,22.86,13.21,19.22,61.92
2005-03-10,0.214529491544756,23.05,2.44,23.05,47.83
2005-03-15,0.209441948541639,28,0,24.8,30.42
2005-03-20,0.200298078098208,27.05,0.26,24.68,22.43
2005-03-25,0.18963176398596,28.76,0,25.88,19.26
2005-03-30,0.178265821251241,27.33,0,25.43,20.86
2005-04-04,0.168478739747434,30.66,2.5599999999999996,26.29,19.98
2005-04-09,0.162910319304848,28.24,0,26.06,10.38
2005-04-14,0.161118277437527,31.44,8.35,24.11,15.69
2005-04-19,0.162546334476849,30.74,0.9400000000000001,19.49,31.5
2005-04-24,0.166918247625196,30.61,5.2,24.95,24.19
2005-04-29,0.17330941558989,29.32,14.69,23.51,45.95
2005-05-04,0.179754900158538,32.18,0.78,24.63,27.51
2005-05-09,0.182788401955372,32.64,0,29.53,13.23
2005-05-14,0.182495951390669,35.11,0,27.96,14.16
2005-05-19,0.180573394046299,35.85,0.02,27.71,15.7
2005-05-24,0.178857489849772,35.55,5.75,22.59,20.69
2005-05-29,0.178372558337493,33.87,0.05,20.85,35.16
2005-06-03,0.179678908965978,35.81,0.73,25.48,18.61
2005-06-08,0.183046068719522,35.79,0.06,25,20.57
2005-06-13,0.1884040524567,36.3,0.23,21.29,17.55
2005-06-18,0.19580330396608,34.66,6.49,21.26,39.19
2005-06-23,0.205590688483523,29.22,76.25999999999999,20.38,70.51
2005-06-28,0.21764876806188,25.42,90.05,7.75,86.24
2005-07-03,0.231496871291242,24.47,223.06,5.53,86.29
2005-07-08,0.246247914772038,26.55,45.410000000000004,14.7,83.94
2005-07-13,0.261017593918115,24.94,95.2,9.63,90.81
2005-07-18,0.275222148511867,25.61,43.300000000000004,16.16,89.28
2005-07-23,0.288634421523752,25.76,82.33,14.08,90.27
2005-07-28,0.30127721041218,24.83,89.62,12.55,92.01
2005-08-02,0.313345085605722,25.08,113.72,10.32,91.94
2005-08-07,0.325091384871713,25.04,20.349999999999998,15.53,89.17
2005-08-12,0.336632855459159,25.44,16.82,18.87,85.79
2005-08-17,0.348052779347938,24.39,144.14000000000001,5.4,92.78
2005-08-22,0.360216673297196,23.69,36.73,15.35,92.44
2005-08-27,0.37191292818632,26.36,0.05,21.97,80.33
2005-09-01,0.381465554730367,25.92,14.11,19.25,86.32
2005-09-06,0.387271103699989,25.69,55.28,18.19,86.12
2005-09-11,0.3881867930862,24.44,199.42,10.51,90.44
2005-09-16,0.383845586502982,24.83,25.970000000000002,15.1,90.07
2005-09-21,0.374899586186108,24.26,15.32,10.52,90.55
2005-09-26,0.363483099547717,23.65,0.56,21.42,82.08
2005-10-01,0.352907214042991,23.38,0.25,21.28,81.42
2005-10-06,0.344387529747275,22.89,0.03,21.17,77.39
2005-10-11,0.338434625559781,22.46,37.76,20.19,82.85
2005-10-16,0.334147076674794,22.66,26.41,14.93,87.29
2005-10-21,0.330154857743796,21.76,0.31,17.19,85.24
2005-10-26,0.324876703138492,18.75,0,19.07,78.23
2005-10-31,0.318214363790476,17.72,0.02,19.4,66.93
2005-11-05,0.310760989700364,16.37,0,19.06,63.61
2005-11-10,0.303486022881032,18.5,0,18.87,56.8
2005-11-15,0.297264228697186,18.44,0,18.97,49.76
2005-11-20,0.2923136660485,19.14,0,17.78,50.94
2005-11-25,0.287973497316522,19.23,0,16.74,60.57
2005-11-30,0.283560723815795,19.35,0,15.57,56.25
2005-12-05,0.278452812520237,16.65,0,17.8,42.38
2005-12-10,0.27322254598269,15.32,0,17.03,41.4
2005-12-15,0.268171052030474,16.13,0,16.16,39.75
2005-12-20,0.263391697500014,18.73,1.81,13.76,70.34
2005-12-25,0.258698654709247,17.51,0,16.81,40.55
2005-12-30,0.253451977450865,18.32,0,16.95,48.37
2006-01-04,0.247195448843232,17.82,0,17.12,28.41
2006-01-09,0.240393745987867,19.52,0,18.24,26.28
2006-01-14,0.233868347367589,21.24,0,18.4,33.18
2006-01-19,0.228531010434161,19.7,0,18.46,31.47
