date,ndvi_sg,T2M,PPT,RAD,RH
2005-02-03,0.204154008136388,17.26,3.54,20.16,55
2005-02-08,0.198380856382199,23.11,1.17,18.5,57.47
2005-02-13,0.193076147737121,23.23,0,20.97,47.24
2005-02-18,0.188239882201154,23.62,0,21.16,46.4
2005-02-23,0.183872059774298,22.54,1.6800000000000002,21.56,39.16
2005-02-28,0.182494567642182,28.25,0.81,19.6,41.74
2005-03-05,0.179644718931003,25.53,6.73,18.91,50.59
2005-03-10,0.172674505968487,24.97,2.8,21.21,41.1
2005-03-15,0.162219409753276,29.06,0,24.48,31.05
2005-03-20,0.148072003705063,29.81,0.17,24,20.08
2005-03-25,0.130897176405835,30.76,0,25.85,17.36
2005-03-30,0.113513793345847,30.07,0,24.93,18.78
2005-04-04,0.0995006454214291,31.9,3.06,25.88,23.2
2005-04-09,0.0925000332557892,29.48,0,25.98,9.37
2005-04-14,0.0927079205635396,32.39,10.24,23.78,15.37
2005-04-19,0.0995261775784787,32.27,0.37,17.92,34.71
2005-04-24,0.111129787544705,32.19,7.02,22.33,25.94
2005-04-29,0.122957344091978,29.92,22.39,22.06,49.96
2005-05-04,0.131103271555443,33.2,0.6599999999999999,23.58,28.89
2005-05-09,0.134144254811994,34.12,0,29.53,12.17
2005-05-14,0.132366726969282,36.91,0,27.41,13.11
2005-05-19,0.128022906597728,37.72,0.14,27.58,14.04
2005-05-24,0.123859174472111,36.92,6.63,23.56,23.68
2005-05-29,0.120939631715594,35.21,0.03,19.11,33.11
2005-06-03,0.119111346588771,37.24,0.8200000000000001,26.34,17.82
2005-06-08,0.119501681393522,37.21,0.5499999999999999,21.78,24.84
2005-06-13,0.122998017477462,37.91,0.27,21.83,15.64
2005-06-18,0.130209409644125,36.37,3.5,20.75,36.47
2005-06-23,0.141289080489553,30.47,60.79,17.79,63.29
2005-06-28,0.155954598087939,26.76,89.44,8.53,83.26
2005-07-03,0.17358477801861,26.19,67.97,6.34,80.98
