date,ndvi_sg,T2M,PPT,RAD,RH
2005-02-03,0.208548083695279,15.69,0.68,19.95,57.96
2005-02-08,0.201515142705503,21.26,1.11,19.14,61.04
2005-02-13,0.195666727866276,21.62,0,20.96,53.12
2005-02-18,0.191002839177596,21.28,0,21.34,53.7
2005-02-23,0.187523476639465,20.71,1.8599999999999999,21.82,39.85
2005-02-28,0.187104272853139,26.17,2.1399999999999997,20.33,47.74
2005-03-05,0.187088600957041,22.86,13.21,19.22,61.92
2005-03-10,0.184778890787476,23.05,2.44,23.05,47.83
2005-03-15,0.178697278862859,28,0,24.8,30.42
2005-03-20,0.169192263878867,27.05,0.26,24.68,22.43
2005-03-25,0.157540117563108,28.76,0,25.88,19.26
2005-03-30,0.146116394387662,27.33,0,25.43,20.86
2005-04-04,0.137671391704289,30.66,2.5599999999999996,26.29,19.98
2005-04-09,0.134720078146347,28.24,0,26.06,10.38
2005-04-14,0.136577434773596,31.44,8.35,24.11,15.69
2005-04-19,0.14116651363123,30.74,0.9400000000000001,19.49,31.5
2005-04-24,0.146421858077842,30.61,5.2,24.95,24.19
2005-04-29,0.150822239839645,29.32,14.69,23.51,45.95
2005-05-04,0.153287969859704,32.18,0.78,24.63,27.51
2005-05-09,0.153698975365538,32.64,0,29.53,13.23
2005-05-14,0.152412338646473,35.11,0,27.96,14.16
2005-05-19,0.149941427779107,35.85,0.02,27.71,15.7
2005-05-24,0.147370038379956,35.55,5.75,22.59,20.69
2005-05-29,0.145305037671736,33.87,0.05,20.85,35.16
2005-06-03,0.144625476382995,35.81,0.73,25.48,18.61
2005-06-08,0.146232096185822,35.79,0.06,25,20.57
2005-06-13,0.150567500927206,36.3,0.23,21.29,17.55
2005-06-18,0.157760492949241,34.66,6.49,21.26,39.19
2005-06-23,0.167472066640549,29.22,76.25999999999999,20.38,70.51
2005-06-28,0.179044635478194,25.42,90.05,7.75,86.24
2005-07-03,0.192181455873284,24.47,223.06,5.53,86.29
2005-07-08,0.206128271035895,26.55,45.410000000000004,14.7,83.94
2005-07-13,0.22039957147768,24.94,95.2,9.63,90.81
2005-07-18,0.234874762640074,25.61,43.300000000000004,16.16,89.28
2005-07-23,0.249600006707937,25.76,82.33,14.08,90.27
2005-07-28,0.26468008210188,24.83,89.62,12.55,92.01
2005-08-02,0.28016588726127,25.08,113.72,10.32,91.94
2005-08-07,0.295942607175373,25.04,20.349999999999998,15.53,89.17
2005-08-12,0.311657902187583,25.44,16.82,18.87,85.79
2005-08-17,0.326810703582985,24.39,144.14000000000001,5.4,92.78
2005-08-22,0.340324388720338,23.69,36.73,15.35,92.44
2005-08-27,0.351033039555896,26.36,0.05,21.97,80.33
2005-09-01,0.358089507606916,25.92,14.11,19.25,86.32
2005-09-06,0.361103587276364,25.69,55.28,18.19,86.12
2005-09-11,0.360216207451046,24.44,199.42,10.51,90.44
2005-09-16,0.356112213108932,24.83,25.970000000000002,15.1,90.07
2005-09-21,0.349965615630186,24.26,15.32,10.52,90.55
2005-09-26,0.343265038213246,23.65,0.56,21.42,82.08
2005-10-01,0.337061000189516,23.38,0.25,21.28,81.42
2005-10-06,0.332184863005915,22.89,0.03,21.17,77.39
2005-10-11,0.328893373499911,22.46,37.76,20.19,82.85
2005-10-16,0.326613687446769,22.66,26.41,14.93,87.29
2005-10-21,0.324201981910574,21.76,0.31,17.19,85.24
2005-10-26,0.320173193661775,18.75,0,19.07,78.23
2005-10-31,0.314033712906489,17.72,0.02,19.4,66.93
2005-11-05,0.306080764473414,16.37,0,19.06,63.61
2005-11-10,0.29729283339934,18.5,0,18.87,56.8
2005-11-15,0.2887723943828,18.44,0,18.97,49.76
2005-11-20,0.281236627093101,19.14,0,17.78,50.94
2005-11-25,0.274798753164476,19.23,0,16.74,60.57
2005-11-30,0.269085733897472,19.35,0,15.57,56.25
2005-12-05,0.263406661783434,16.65,0,17.8,42.38
2005-12-10,0.2578350269377,15.32,0,17.03,41.4
2005-12-15,0.25254203089014,16.13,0,16.16,39.75
2005-12-20,0.24760987317774,18.73,1.81,13.76,70.34
2005-12-25,0.242790963919704,17.51,0,16.81,40.55
2005-12-30,0.237502748568478,18.32,0,16.95,48.37
2006-01-04,0.231242185402778,17.82,0,17.12,28.41
2006-01-09,0.224106802862586,19.52,0,18.24,26.28
2006-01-14,0.216837585197133,21.24,0,18.4,33.18
2006-01-19,0.210435884340626,19.7,0,18.46,31.47
2006-01-24,0.205469483927551,17.74,0,19.32,20
2006-01-29,0.201668305396201,21.56,0,20.18,18.46
2006-02-03,0.198374285019856,21.53,0,20.15,20.5
2006-02-08,0.194594005590668,21.09,0,20.33,18.55
2006-02-13,0.187057758617079,23.65,0,20.79,21.66
2006-02-18,0.175819336809166,25.27,0,21.78,23.06
2006-02-23,0.163278028094109,27.08,0,22.43,18.43
2006-02-28,0.152390091723084,23.64,23.32,17.98,57.15
2006-03-05,0.145469295973517,23.73,35.629999999999995,13.13,66.25
2006-03-10,0.143584890316805,21.45,9.379999999999999,21.16,61.39
2006-03-15,0.146290781313683,21.79,0.82,25.28,45.55
2006-03-20,0.151281574012327,25.72,0,25.82,37.11
2006-03-25,0.154034084920813,26.09,0.05,24.54,27.69
2006-03-30,0.153907916881259,26.44,0,27.56,18.81
2006-04-04,0.151698080144958,31.79,0,27.45,17.75
2006-04-09,0.148776905413262,31.57,4.66,25.45,18.3
2006-04-14,0.146728262060152,27.52,4.19,25.71,48.55
2006-04-19,0.147509564706242,31.5,0,25.91,21.73
2006-04-24,0.150227602609686,33.84,0.46,24.12,18.9
2006-04-29,0.152465954290042,33.94,12.96,22.58,31.46
2006-05-04,0.157269243497746,34.16,0.21,27.55,20.14
2006-05-09,0.164551698324023,35.4,1.3199999999999998,25.58,20.63
2006-05-14,0.170458417958362,33.29,20.09,24.69,39.76
2006-05-19,0.176214063287419,30.28,8.96,22.61,55.53
2006-05-24,0.182061351428363,32.45,11.530000000000001,22.31,49.85
2006-05-29,0.188000282381194,31.59,0.54,25.1,53.8
2006-06-03,0.194030856145913,30.36,5.41,17.93,55.44
