"date","median_ndvi","landsat","year","month","day","ndvi_filled","ndvi_sg"
2005-02-03,0.2389847189188,"Landsat4/5 (TM)",2005,2,3,0.2389847189188,0.237210901167926
2005-02-08,0.227450943630477,"Landsat4/5 (TM)",2005,2,8,0.227450943630477,0.226069018516654
2005-02-13,0.215678316373669,"Landsat4/5 (TM)",2005,2,13,0.215678316373669,0.217557594332734
2005-02-18,0.207249616675653,"Landsat4/5 (TM)",2005,2,18,0.207249616675653,0.211676628616164
2005-02-23,0.20554929532766,"Landsat4/5 (TM)",2005,2,23,0.20554929532766,0.208426121366946
2005-02-28,0.209616766504041,"Landsat4/5 (TM)",2005,2,28,0.209616766504041,0.211257740811746
2005-03-05,0.215417321125709,"Landsat4/5 (TM)",2005,3,5,0.215417321125709,0.214640024710893
2005-03-10,0.21887760476656,"Landsat4/5 (TM)",2005,3,10,0.21887760476656,0.214529491544756
2005-03-15,0.215924263000488,"Landsat4/5 (TM)",2005,3,15,0.215924263000488,0.209441948541639
2005-03-20,0.199236967426259,"Landsat4/5 (TM)",2005,3,20,0.199236967426259,0.200298078098208
2005-03-25,0.184071837866213,"Landsat4/5 (TM)",2005,3,25,0.184071837866213,0.18963176398596
2005-03-30,0.176079105476674,"Landsat4/5 (TM)",2005,3,30,0.176079105476674,0.178265821251241
2005-04-04,0.171424405183643,"Landsat4/5 (TM)",2005,4,4,0.171424405183643,0.168478739747434
2005-04-09,0.166812297880824,"Landsat4/5 (TM)",2005,4,9,0.166812297880824,0.162910319304848
2005-04-14,0.157374373462517,"Landsat4/5 (TM)",2005,4,14,0.157374373462517,0.161118277437527
2005-04-19,0.157701533149521,"Landsat4/5 (TM)",2005,4,19,0.157701533149521,0.162546334476849
2005-04-24,0.16622469201684,"Landsat4/5 (TM)",2005,4,24,0.16622469201684,0.166918247625196
2005-04-29,0.176304565298779,"Landsat4/5 (TM)",2005,4,29,0.176304565298779,0.17330941558989
2005-05-04,0.182223352778238,"Landsat4/5 (TM)",2005,5,4,0.182223352778238,0.179754900158538
2005-05-09,0.184071513715025,"Landsat4/5 (TM)",2005,5,9,0.184071513715025,0.182788401955372
2005-05-14,0.182963958126493,"Landsat4/5 (TM)",2005,5,14,0.182963958126493,0.182495951390669
2005-05-19,0.179738856417316,"Landsat4/5 (TM)",2005,5,19,0.179738856417316,0.180573394046299
2005-05-24,0.177417386231051,"Landsat4/5 (TM)",2005,5,24,0.177417386231051,0.178857489849772
2005-05-29,0.178150647267102,"Landsat4/5 (TM)",2005,5,29,0.178150647267102,0.178372558337493
2005-06-03,0.180081524299802,"Landsat4/5 (TM)",2005,6,3,0.180081524299802,0.179678908965978
2005-06-08,0.183298465969293,"Landsat4/5 (TM)",2005,6,8,0.183298465969293,0.183046068719522
2005-06-13,0.188230569197913,"Landsat4/5 (TM)",2005,6,13,0.188230569197913,0.1884040524567
2005-06-18,0.195306930908003,"Landsat4/5 (TM)",2005,6,18,0.195306930908003,0.19580330396608
2005-06-23,0.205042963854309,"Landsat4/5 (TM)",2005,6,23,0.205042963854309,0.205590688483523
2005-06-28,0.217361672957896,"Landsat4/5 (TM)",2005,6,28,0.217361672957896,0.21764876806188
2005-07-03,0.231439109850544,"Landsat4/5 (TM)",2005,7,3,0.231439109850544,0.231496871291242
2005-07-08,0.24643748551827,"Landsat4/5 (TM)",2005,7,8,0.24643748551827,0.246247914772038
2005-07-13,0.261519010947086,"Landsat4/5 (TM)",2005,7,13,0.261519010947086,0.261017593918115
2005-07-18,0.275845897123009,"Landsat4/5 (TM)",2005,7,18,0.275845897123009,0.275222148511867
2005-07-23,0.288738067959552,"Landsat4/5 (TM)",2005,7,23,0.288738067959552,0.288634421523752
2005-07-28,0.301088856466217,"Landsat4/5 (TM)",2005,7,28,0.301088856466217,0.30127721041218
2005-08-02,0.313198819953017,"Landsat4/5 (TM)",2005,8,2,0.313198819953017,0.313345085605722
2005-08-07,0.325063671785887,"Landsat4/5 (TM)",2005,8,7,0.325063671785887,0.325091384871713
2005-08-12,0.33667912533076,"Landsat4/5 (TM)",2005,8,12,0.33667912533076,0.336632855459159
2005-08-17,0.34804089395357,"Landsat4/5 (TM)",2005,8,17,0.34804089395357,0.348052779347938
2005-08-22,0.35914469102025,"Landsat4/5 (TM)",2005,8,22,0.35914469102025,0.360216673297196
2005-08-27,0.369986229896734,"Landsat4/5 (TM)",2005,8,27,0.369986229896734,0.37191292818632
2005-09-01,0.381070192536572,"Landsat4/5 (TM)",2005,9,1,0.381070192536572,0.381465554730367
2005-09-06,0.391073959596543,"Landsat4/5 (TM)",2005,9,6,0.391073959596543,0.387271103699989
2005-09-11,0.390186902077403,"Landsat4/5 (TM)",2005,9,11,0.390186902077403,0.3881867930862
2005-09-16,0.38400816331432,"Landsat4/5 (TM)",2005,9,16,0.38400816331432,0.383845586502982
2005-09-21,0.374485988104425,"Landsat4/5 (TM)",2005,9,21,0.374485988104425,0.374899586186108
2005-09-26,0.363303516219276,"Landsat4/5 (TM)",2005,9,26,0.363303516219276,0.363483099547717
2005-10-01,0.352143887430429,"Landsat4/5 (TM)",2005,10,1,0.352143887430429,0.352907214042991
2005-10-06,0.342690241509444,"Landsat4/5 (TM)",2005,10,6,0.342690241509444,0.344387529747275
2005-10-11,0.336610721285979,"Landsat4/5 (TM)",2005,10,11,0.336610721285979,0.338434625559781
2005-10-16,0.333913147808744,"Landsat4/5 (TM)",2005,10,16,0.333913147808744,0.334147076674794
2005-10-21,0.331825281435159,"Landsat4/5 (TM)",2005,10,21,0.331825281435159,0.330154857743796
