"date","median_ndvi","landsat","year","month","day","ndvi_filled","ndvi_sg"
2005-02-03,0.205560594797134,"Landsat7 (ETM+)",2005,2,3,0.205560594797134,0.204154008136388
2005-02-08,0.198742174275442,"Landsat7 (ETM+)",2005,2,8,0.198742174275442,0.198380856382199
2005-02-13,0.191867264249595,"Landsat7 (ETM+)",2005,2,13,0.191867264249595,0.193076147737121
2005-02-18,0.18578320728193,"Landsat7 (ETM+)",2005,2,18,0.18578320728193,0.188239882201154
2005-02-23,0.182045217482718,"Landsat7 (ETM+)",2005,2,23,0.182045217482718,0.183872059774298
2005-02-28,0.181027575257758,"Landsat7 (ETM+)",2005,2,28,0.181027575257758,0.182494567642182
2005-03-05,0.180066012839907,"Landsat7 (ETM+)",2005,3,5,0.180066012839907,0.179644718931003
2005-03-10,0.176428155709733,"Landsat7 (ETM+)",2005,3,10,0.176428155709733,0.172674505968487
2005-03-15,0.167381629347801,"Landsat7 (ETM+)",2005,3,15,0.167381629347801,0.162219409753276
2005-03-20,0.145739536168549,"Landsat7 (ETM+)",2005,3,20,0.145739536168549,0.148072003705063
2005-03-25,0.127063192485366,"Landsat7 (ETM+)",2005,3,25,0.127063192485366,0.130897176405835
2005-03-30,0.116838605645171,"Landsat7 (ETM+)",2005,3,30,0.116838605645171,0.113513793345847
2005-04-04,0.101195419672877,"Landsat7 (ETM+)",2005,4,4,0.101195419672877,0.0995006454214291
2005-04-09,0.0889288011749158,"Landsat7 (ETM+)",2005,4,9,0.0889288011749158,0.0925000332557892
2005-04-14,0.087943633494433,"Landsat7 (ETM+)",2005,4,14,0.087943633494433,0.0927079205635396
2005-04-19,0.096161147285784,"Landsat7 (ETM+)",2005,4,19,0.096161147285784,0.0995261775784787
2005-04-24,0.112103914376348,"Landsat7 (ETM+)",2005,4,24,0.112103914376348,0.111129787544705
2005-04-29,0.127980955195199,"Landsat7 (ETM+)",2005,4,29,0.127980955195199,0.122957344091978
2005-05-04,0.135515370493522,"Landsat7 (ETM+)",2005,5,4,0.135515370493522,0.131103271555443
2005-05-09,0.133588052212872,"Landsat7 (ETM+)",2005,5,9,0.133588052212872,0.134144254811994
2005-05-14,0.131040802341886,"Landsat7 (ETM+)",2005,5,14,0.131040802341886,0.132366726969282
2005-05-19,0.127507967225028,"Landsat7 (ETM+)",2005,5,19,0.127507967225028,0.128022906597728
2005-05-24,0.123927275315509,"Landsat7 (ETM+)",2005,5,24,0.123927275315509,0.123859174472111
2005-05-29,0.120834575674962,"Landsat7 (ETM+)",2005,5,29,0.120834575674962,0.120939631715594
2005-06-03,0.119113184511662,"Landsat7 (ETM+)",2005,6,3,0.119113184511662,0.119111346588771
2005-06-08,0.119887477823795,"Landsat7 (ETM+)",2005,6,8,0.119887477823795,0.119501681393522
2005-06-13,0.122360827837838,"Landsat7 (ETM+)",2005,6,13,0.122360827837838,0.122998017477462
2005-06-18,0.128907902482751,"Landsat7 (ETM+)",2005,6,18,0.128907902482751,0.130209409644125
2005-06-23,0.140721383944037,"Landsat7 (ETM+)",2005,6,23,0.140721383944037,0.141289080489553
2005-06-28,0.155973334411055,"Landsat7 (ETM+)",2005,6,28,0.155973334411055,0.155954598087939
2005-07-03,0.173718260525856,"Landsat7 (ETM+)",2005,7,3,0.173718260525856,0.17358477801861
2005-07-08,0.19306275587719,"Landsat7 (ETM+)",2005,7,8,0.19306275587719,0.192634733476372
2005-07-13,0.213113414053805,"Landsat7 (ETM+)",2005,7,13,0.213113414053805,0.212196271246393
2005-07-18,0.232976828644451,"Landsat7 (ETM+)",2005,7,18,0.232976828644451,0.232246433948858
2005-07-23,0.252171833209228,"Landsat7 (ETM+)",2005,7,23,0.252171833209228,0.252975278031461
2005-07-28,0.273499287532701,"Landsat7 (ETM+)",2005,7,28,0.273499287532701,0.274615688448812
2005-08-02,0.29665103026107,"Landsat7 (ETM+)",2005,8,2,0.29665103026107,0.297221362044795
2005-08-07,0.320369511495752,"Landsat7 (ETM+)",2005,8,7,0.320369511495752,0.320455819545278
2005-08-12,0.343397181338165,"Landsat7 (ETM+)",2005,8,12,0.343397181338165,0.343392262741797
2005-08-17,0.364476489889727,"Landsat7 (ETM+)",2005,8,17,0.364476489889727,0.36434882220975
2005-08-22,0.382349887251854,"Landsat7 (ETM+)",2005,8,22,0.382349887251854,0.381853742916594
2005-08-27,0.395759823525965,"Landsat7 (ETM+)",2005,8,27,0.395759823525965,0.394804490807084
2005-09-01,0.403502853373531,"Landsat7 (ETM+)",2005,9,1,0.403502853373531,0.40258231772937
2005-09-06,0.405599527402257,"Landsat7 (ETM+)",2005,9,6,0.405599527402257,0.405150082021821
2005-09-11,0.403151710543781,"Landsat7 (ETM+)",2005,9,11,0.403151710543781,0.40304701671108
2005-09-16,0.397282363080478,"Landsat7 (ETM+)",2005,9,16,0.397282363080478,0.39728044532132
2005-09-21,0.389114445294719,"Landsat7 (ETM+)",2005,9,21,0.389114445294719,0.389154423321682
2005-09-26,0.379770917468878,"Landsat7 (ETM+)",2005,9,26,0.379770917468878,0.38019857236793
2005-10-01,0.37037473988533,"Landsat7 (ETM+)",2005,10,1,0.37037473988533,0.371228626813186
2005-10-06,0.362048872826446,"Landsat7 (ETM+)",2005,10,6,0.362048872826446,0.362523127905699
2005-10-11,0.35547651827801,"Landsat7 (ETM+)",2005,10,11,0.35547651827801,0.354158027821534
2005-10-16,0.34810253532487,"Landsat7 (ETM+)",2005,10,16,0.34810253532487,0.348197483377027
2005-10-21,0.341181703377516,"Landsat7 (ETM+)",2005,10,21,0.341181703377516,0.344289922593994
2005-10-26,0.337251905097219,"Landsat7 (ETM+)",2005,10,26,0.337251905097219,0.339930136804338
2005-10-31,0.339447792561259,"Landsat7 (ETM+)",2005,10,31,0.339447792561259,0.334293991358516
2005-11-05,0.331382448566728,"Landsat7 (ETM+)",2005,11,5,0.331382448566728,0.327348321951093
2005-11-10,0.316195487976074,"Landsat7 (ETM+)",2005,11,10,0.316195487976074,0.318755827427409
2005-11-15,0.306109033790562,"Landsat7 (ETM+)",2005,11,15,0.306109033790562,0.308450295672569
2005-11-20,0.297306114367529,"Landsat7 (ETM+)",2005,11,20,0.297306114367529,0.297284561753927
2005-11-25,0.288504384142015,"Landsat7 (ETM+)",2005,11,25,0.288504384142015,0.287835541220423
2005-11-30,0.279840588133083,"Landsat7 (ETM+)",2005,11,30,0.279840588133083,0.279706469947251
2005-12-05,0.271468334197834,"Landsat7 (ETM+)",2005,12,5,0.271468334197834,0.271373654023881
2005-12-10,0.263541230193369,"Landsat7 (ETM+)",2005,12,10,0.263541230193369,0.263392930188688
2005-12-15,0.256212883976787,"Landsat7 (ETM+)",2005,12,15,0.256212883976787,0.256417670144215
2005-12-20,0.24963690340519,"Landsat7 (ETM+)",2005,12,20,0.24963690340519,0.250762270152762
2005-12-25,0.24499151541113,"Landsat7 (ETM+)",2005,12,25,0.24499151541113,0.245987197680403
2005-12-30,0.241670850060473,"Landsat7 (ETM+)",2005,12,30,0.241670850060473,0.241095006264717
